expName,expType,useLinear,useMetric,matchingMethod,selectionMethod,weightingMethod,rejectionMethod,useMultiresolution,numIterations,maxMatchingDist,samplingProba
bunny000,bunny,0,0,0,0,0,0,0,20,0.0003,1
bunny001,bunny,0,0,0,0,0,1,0,20,0.0003,1
bunny002,bunny,0,0,0,0,1,0,0,20,0.0003,1
bunny003,bunny,0,0,0,0,1,1,0,20,0.0003,1
bunny004,bunny,0,0,0,0,2,0,0,20,0.0003,1
bunny005,bunny,0,0,0,0,2,1,0,20,0.0003,1
bunny006,bunny,0,0,0,1,0,0,0,20,0.0003,0.5
bunny007,bunny,0,0,0,1,0,1,0,20,0.0003,0.5
bunny008,bunny,0,0,0,1,1,0,0,20,0.0003,0.5
bunny009,bunny,0,0,0,1,1,1,0,20,0.0003,0.5
bunny010,bunny,0,0,0,1,2,0,0,20,0.0003,0.5
bunny011,bunny,0,0,0,1,2,1,0,20,0.0003,0.5
bunny012,bunny,0,1,0,0,0,0,0,20,0.0003,1
bunny013,bunny,0,1,0,0,0,1,0,20,0.0003,1
bunny014,bunny,0,1,0,0,1,0,0,20,0.0003,1
bunny015,bunny,0,1,0,0,1,1,0,20,0.0003,1
bunny016,bunny,0,1,0,0,2,0,0,20,0.0003,1
bunny017,bunny,0,1,0,0,2,1,0,20,0.0003,1
bunny018,bunny,0,1,0,1,0,0,0,20,0.0003,0.5
bunny019,bunny,0,1,0,1,0,1,0,20,0.0003,0.5
bunny020,bunny,0,1,0,1,1,0,0,20,0.0003,0.5
bunny021,bunny,0,1,0,1,1,1,0,20,0.0003,0.5
bunny022,bunny,0,1,0,1,2,0,0,20,0.0003,0.5
bunny023,bunny,0,1,0,1,2,1,0,20,0.0003,0.5
bunny024,bunny,0,2,0,0,0,0,0,20,0.0003,1
bunny025,bunny,0,2,0,0,0,1,0,20,0.0003,1
bunny026,bunny,0,2,0,0,1,0,0,20,0.0003,1
bunny027,bunny,0,2,0,0,1,1,0,20,0.0003,1
bunny028,bunny,0,2,0,0,2,0,0,20,0.0003,1
bunny029,bunny,0,2,0,0,2,1,0,20,0.0003,1
bunny030,bunny,0,2,0,1,0,0,0,20,0.0003,0.5
bunny031,bunny,0,2,0,1,0,1,0,20,0.0003,0.5
bunny032,bunny,0,2,0,1,1,0,0,20,0.0003,0.5
bunny033,bunny,0,2,0,1,1,1,0,20,0.0003,0.5
bunny034,bunny,0,2,0,1,2,0,0,20,0.0003,0.5
bunny035,bunny,0,2,0,1,2,1,0,20,0.0003,0.5
bunny036,bunny,1,0,0,0,0,0,0,20,0.0003,1
bunny037,bunny,1,0,0,0,0,1,0,20,0.0003,1
bunny038,bunny,1,0,0,0,1,0,0,20,0.0003,1
bunny039,bunny,1,0,0,0,1,1,0,20,0.0003,1
bunny040,bunny,1,0,0,0,2,0,0,20,0.0003,1
bunny041,bunny,1,0,0,0,2,1,0,20,0.0003,1
bunny042,bunny,1,0,0,1,0,0,0,20,0.0003,0.5
bunny043,bunny,1,0,0,1,0,1,0,20,0.0003,0.5
bunny044,bunny,1,0,0,1,1,0,0,20,0.0003,0.5
bunny045,bunny,1,0,0,1,1,1,0,20,0.0003,0.5
bunny046,bunny,1,0,0,1,2,0,0,20,0.0003,0.5
bunny047,bunny,1,0,0,1,2,1,0,20,0.0003,0.5
bunny048,bunny,1,1,0,0,0,0,0,20,0.0003,1
bunny049,bunny,1,1,0,0,0,1,0,20,0.0003,1
bunny050,bunny,1,1,0,0,1,0,0,20,0.0003,1
bunny051,bunny,1,1,0,0,1,1,0,20,0.0003,1
bunny052,bunny,1,1,0,0,2,0,0,20,0.0003,1
bunny053,bunny,1,1,0,0,2,1,0,20,0.0003,1
bunny054,bunny,1,1,0,1,0,0,0,20,0.0003,0.5
bunny055,bunny,1,1,0,1,0,1,0,20,0.0003,0.5
bunny056,bunny,1,1,0,1,1,0,0,20,0.0003,0.5
bunny057,bunny,1,1,0,1,1,1,0,20,0.0003,0.5
bunny058,bunny,1,1,0,1,2,0,0,20,0.0003,0.5
bunny059,bunny,1,1,0,1,2,1,0,20,0.0003,0.5
bunny060,bunny,1,2,0,0,0,0,0,20,0.0003,1
bunny061,bunny,1,2,0,0,0,1,0,20,0.0003,1
bunny062,bunny,1,2,0,0,1,0,0,20,0.0003,1
bunny063,bunny,1,2,0,0,1,1,0,20,0.0003,1
bunny064,bunny,1,2,0,0,2,0,0,20,0.0003,1
bunny065,bunny,1,2,0,0,2,1,0,20,0.0003,1
bunny066,bunny,1,2,0,1,0,0,0,20,0.0003,0.5
bunny067,bunny,1,2,0,1,0,1,0,20,0.0003,0.5
bunny068,bunny,1,2,0,1,1,0,0,20,0.0003,0.5
bunny069,bunny,1,2,0,1,1,1,0,20,0.0003,0.5
bunny070,bunny,1,2,0,1,2,0,0,20,0.0003,0.5
bunny071,bunny,1,2,0,1,2,1,0,20,0.0003,0.5
bunny072,bunny,0,0,0,0,0,0,1,20,0.0003,1
bunny073,bunny,0,0,0,0,0,1,1,20,0.0003,1
bunny074,bunny,0,0,0,0,1,0,1,20,0.0003,1
bunny075,bunny,0,0,0,0,1,1,1,20,0.0003,1
bunny076,bunny,0,0,0,0,2,0,1,20,0.0003,1
bunny077,bunny,0,0,0,0,2,1,1,20,0.0003,1
bunny078,bunny,0,0,0,1,0,0,1,20,0.0003,0.5
bunny079,bunny,0,0,0,1,0,1,1,20,0.0003,0.5
bunny080,bunny,0,0,0,1,1,0,1,20,0.0003,0.5
bunny081,bunny,0,0,0,1,1,1,1,20,0.0003,0.5
bunny082,bunny,0,0,0,1,2,0,1,20,0.0003,0.5
bunny083,bunny,0,0,0,1,2,1,1,20,0.0003,0.5
bunny084,bunny,0,1,0,0,0,0,1,20,0.0003,1
bunny085,bunny,0,1,0,0,0,1,1,20,0.0003,1
bunny086,bunny,0,1,0,0,1,0,1,20,0.0003,1
bunny087,bunny,0,1,0,0,1,1,1,20,0.0003,1
bunny088,bunny,0,1,0,0,2,0,1,20,0.0003,1
bunny089,bunny,0,1,0,0,2,1,1,20,0.0003,1
bunny090,bunny,0,1,0,1,0,0,1,20,0.0003,0.5
bunny091,bunny,0,1,0,1,0,1,1,20,0.0003,0.5
bunny092,bunny,0,1,0,1,1,0,1,20,0.0003,0.5
bunny093,bunny,0,1,0,1,1,1,1,20,0.0003,0.5
bunny094,bunny,0,1,0,1,2,0,1,20,0.0003,0.5
bunny095,bunny,0,1,0,1,2,1,1,20,0.0003,0.5
bunny096,bunny,0,2,0,0,0,0,1,20,0.0003,1
bunny097,bunny,0,2,0,0,0,1,1,20,0.0003,1
bunny098,bunny,0,2,0,0,1,0,1,20,0.0003,1
bunny099,bunny,0,2,0,0,1,1,1,20,0.0003,1
bunny100,bunny,0,2,0,0,2,0,1,20,0.0003,1
bunny101,bunny,0,2,0,0,2,1,1,20,0.0003,1
bunny102,bunny,0,2,0,1,0,0,1,20,0.0003,0.5
bunny103,bunny,0,2,0,1,0,1,1,20,0.0003,0.5
bunny104,bunny,0,2,0,1,1,0,1,20,0.0003,0.5
bunny105,bunny,0,2,0,1,1,1,1,20,0.0003,0.5
bunny106,bunny,0,2,0,1,2,0,1,20,0.0003,0.5
bunny107,bunny,0,2,0,1,2,1,1,20,0.0003,0.5
bunny108,bunny,1,0,0,0,0,0,1,20,0.0003,1
bunny109,bunny,1,0,0,0,0,1,1,20,0.0003,1
bunny110,bunny,1,0,0,0,1,0,1,20,0.0003,1
bunny111,bunny,1,0,0,0,1,1,1,20,0.0003,1
bunny112,bunny,1,0,0,0,2,0,1,20,0.0003,1
bunny113,bunny,1,0,0,0,2,1,1,20,0.0003,1
bunny114,bunny,1,0,0,1,0,0,1,20,0.0003,0.5
bunny115,bunny,1,0,0,1,0,1,1,20,0.0003,0.5
bunny116,bunny,1,0,0,1,1,0,1,20,0.0003,0.5
bunny117,bunny,1,0,0,1,1,1,1,20,0.0003,0.5
bunny118,bunny,1,0,0,1,2,0,1,20,0.0003,0.5
bunny119,bunny,1,0,0,1,2,1,1,20,0.0003,0.5
bunny120,bunny,1,1,0,0,0,0,1,20,0.0003,1
bunny121,bunny,1,1,0,0,0,1,1,20,0.0003,1
bunny122,bunny,1,1,0,0,1,0,1,20,0.0003,1
bunny123,bunny,1,1,0,0,1,1,1,20,0.0003,1
bunny124,bunny,1,1,0,0,2,0,1,20,0.0003,1
bunny125,bunny,1,1,0,0,2,1,1,20,0.0003,1
bunny126,bunny,1,1,0,1,0,0,1,20,0.0003,0.5
bunny127,bunny,1,1,0,1,0,1,1,20,0.0003,0.5
bunny128,bunny,1,1,0,1,1,0,1,20,0.0003,0.5
bunny129,bunny,1,1,0,1,1,1,1,20,0.0003,0.5
bunny130,bunny,1,1,0,1,2,0,1,20,0.0003,0.5
bunny131,bunny,1,1,0,1,2,1,1,20,0.0003,0.5
bunny132,bunny,1,2,0,0,0,0,1,20,0.0003,1
bunny133,bunny,1,2,0,0,0,1,1,20,0.0003,1
bunny134,bunny,1,2,0,0,1,0,1,20,0.0003,1
bunny135,bunny,1,2,0,0,1,1,1,20,0.0003,1
bunny136,bunny,1,2,0,0,2,0,1,20,0.0003,1
bunny137,bunny,1,2,0,0,2,1,1,20,0.0003,1
bunny138,bunny,1,2,0,1,0,0,1,20,0.0003,0.5
bunny139,bunny,1,2,0,1,0,1,1,20,0.0003,0.5
bunny140,bunny,1,2,0,1,1,0,1,20,0.0003,0.5
bunny141,bunny,1,2,0,1,1,1,1,20,0.0003,0.5
bunny142,bunny,1,2,0,1,2,0,1,20,0.0003,0.5
bunny143,bunny,1,2,0,1,2,1,1,20,0.0003,0.5
